Date,Close,Volume,Daily_Return,MA_7,MA_21,Price_Range,Volume_Change
2020-09-21,0.0061181290199473345,0.0007826156743669328,0.3795926988615579,0.0061392250326973525,0.007237319648178478,0.03377185322995396,1.0
2020-09-22,0.006634214130312154,0.0007277368004798707,0.6690307486605719,0.006125451301447599,0.006942131134819881,0.01897536954746227,0.3738620190880579
2020-09-23,0.0063286134169394095,0.0005835684525225021,0.39349465110402176,0.006295482875395248,0.006667864416089128,0.01847917429680134,0.3244837740721845
2020-09-24,0.00747694543350566,0.0007533369704450773,0.877210757856564,0.0064360335386602,0.006586346562606041,0.028567944693796556,0.5070520814243448
2020-09-25,0.0076938285813283646,0.0005741028429672321,0.5586970051287912,0.006483112361890502,0.006512563310519634,0.02101153259894023,0.30786218322537506
2020-09-26,0.007484658717360767,0.0002859465426156045,0.43072049484875485,0.006544862350220696,0.006623447649891674,0.00695211070041007,0.22167756138706166
2020-09-27,0.00755544645949036,0.00021068754152469746,0.5144187492792239,0.006709458396914141,0.006637268053372998,0.006974884686487087,0.33384236876823087
2020-09-28,0.0067939127788799744,0.0002819451369379775,0.2637323749276458,0.006811100363410857,0.006643082979174223,0.01473513801474876,0.47489010996361636
2020-09-29,0.006754162262298792,0.00015717165633668466,0.4802238902592818,0.00682914128826526,0.006741711299477018,0.0029474387999205804,0.28834600786433007
2020-09-30,0.006565758504829084,9.54250917137006e-05,0.43229234655330256,0.006864809344443785,0.006589158603179538,0.0055545857476950915,0.3321528990978545
2020-10-01,0.006422786155779633,0.00027466396644320646,0.4461558892119573,0.006706257410378271,0.006463396654817116,0.019172076337698428,0.6319282508975831
2020-10-02,0.005511187568274139,0.0005694960161827433,0.19055609602195112,0.006377974994900255,0.0062978624342629385,0.025835558395118606,0.6733829285847848
2020-10-03,0.0052055174741998935,9.59999780290161e-07,0.38250418234717803,0.006035178360893348,0.006135630885106879,0.003970985379417245,0.04453219924206708
2020-10-04,0.005084041116628145,5.486990685614734e-05,0.44772079478825033,0.005663464042905354,0.005988998116108123,0.006694725998195578,0.48921612635662903
2020-10-05,0.005633646356579169,0.00011523355604471582,0.7003244685415336,0.005488952952243703,0.005862682545872632,0.009359651392128427,0.4869597913163541
2020-10-06,0.0037658133385251565,0.00021096317516124845,0.0,0.0050394871916719436,0.005705095933974368,0.03237049746785257,0.5196448997196331
2020-10-07,0.004214137555497959,0.00032939133853344016,0.6885198992991014,0.0046857891712838605,0.005652709051764356,0.016794444075226272,0.523132850164675
2020-10-08,0.004499026741857992,0.0005153060212589003,0.6109737288419914,0.004396444114802475,0.005543917896559864,0.024600262948162085,0.5595079833367322
2020-10-09,0.005176634750702157,0.00034364522538112203,0.764909281958527,0.004346125346667617,0.0054265691685594355,0.017678974448044508,0.28733329005342906
2020-10-10,0.004657604198289524,0.00015843940696229255,0.2990191585819326,0.004263715874559044,0.0052979168717524885,0.00903675633490229,0.24812246121997641
2020-10-11,0.004737098755919748,6.0432865289943504e-05,0.5243440978211062,0.004211533644167604,0.005206132462376274,0.003267311383685888,0.29145127095297413
2020-10-12,0.005359822929570869,0.00036046632043247,0.7365654516623374,0.0041703489438457845,0.00516576091334513,0.015806798154337127,0.8189923370188501
2020-10-13,0.004653025997066338,0.000309229291865765,0.23366980277606064,0.0043037910961954305,0.0050602842003445265,0.012412209007413737,0.36036887837560666
2020-10-14,0.004302754287761812,0.00019321478361882904,0.35474033323171134,0.004317119588945889,0.004952429242825755,0.008995039172134678,0.3006257001777756
2020-10-15,0.004115739994474207,0.00012852580208684203,0.41629564958995513,0.004259470942879357,0.004773481622718641,0.004721736156553156,0.33359196031333865
2020-10-16,0.0036615794728909632,0.00043945584081611384,0.30278616148646653,0.004031597461529076,0.004558808228092155,0.005117662607402799,0.7738736669949939
2020-10-17,0.003865115623896509,2.7727524789685897e-05,0.5828658942302667,0.003912402384608746,0.004366106938569903,0.0027698860566164815,0.10099528849773975
2020-10-18,0.00391332133530087,9.063792797414758e-06,0.5137651396870717,0.0037885012758878964,0.0041722034016013826,0.00016244037599991244,0.37379107303910397
2020-10-19,0.003307307734875778,0.00012362482152352067,0.2332118916442339,0.0034797905708796725,0.003986579616862479,0.006779776995581949,0.5833482743654429
2020-10-20,0.0026499963564493344,0.00040964280734621754,0.1898398255515622,0.003178522792640839,0.003768077435220128,0.012927180495824121,0.7475412221697911
2020-10-21,0.0026566157379107405,0.00076987516446227,0.49631136966130923,0.0029309335939936487,0.003559958113896959,0.01007215557922066,0.6754167021619472
2020-10-22,0.002909885825905756,0.00031098319622626335,0.6201524083349162,0.002749565830442855,0.0033729343912751236,0.009161609090363062,0.16462311122217793
